Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
58,Second by Weiner,2.699586776859504,0.8676308539944904,1.0,1.0,168,0.7853994490358126,0.08223140495867769,0.05289256198347108,0.07947658402203857,1.0,0.35868347338935574,0.9696223316912973,0
59,AdaptorBrief,2.6987603305785126,0.8319559228650137,12.0,0.9889807162534435,6,0.7420110192837466,0.08994490358126721,0.07589531680440771,0.09214876033057852,0.9898896013664468,0.6227362914862914,0.9423015873015873,0.17347210192478735
60,"First by Feld: 1.0, 0.5, 200",2.6987603305785126,0.8389807162534435,10.0,1.0,64,0.7465564738292011,0.09242424242424242,0.07520661157024792,0.08581267217630853,0.9910101546663601,0,0.9961255411255412,0
61,Resurrection,2.6987603305785126,0.8477961432506887,1.0,1.0,141,0.7579889807162534,0.08980716253443527,0.06831955922865014,0.08388429752066116,1.0,0,0.9974457215836525,0
62,Meta Majority Long Memory: 138 players,2.6983471074380163,0.8480716253443527,0.0,1.0,226,0.756473829201102,0.0915977961432507,0.06955922865013774,0.08236914600550964,1.0,0,0.9897828863346105,0
63,Second by Grofman,2.69504132231405,0.8570247933884297,20.0,1.0,158,0.7779614325068871,0.0790633608815427,0.05523415977961433,0.08774104683195592,0.98989898989899,0.6094030365769495,0.7211721611721611,1.0
64,Two Tits For Tat,2.69504132231405,0.765564738292011,53.0,1.0,197,0.7059228650137741,0.05964187327823692,0.08512396694214877,0.1493112947658402,1.0,0,0.4054597701149425,0
65,Once Bitten,2.6942148760330578,0.8622589531680441,21.0,1.0,121,0.7763085399449036,0.0859504132231405,0.05702479338842976,0.08071625344352618,1.0,0.7253844246031745,0,0
66,Meta Majority: 220 players,2.6942148760330578,0.8449035812672177,1.0,1.0,223,0.7566115702479339,0.08829201101928374,0.06818181818181818,0.0869146005509642,1.0,0,0.9656449553001276,0
67,"Omega TFT: 3, 8",2.693801652892562,0.8557851239669422,5.0,1.0,120,0.7710743801652893,0.08471074380165289,0.060743801652892566,0.08347107438016528,1.0,0.27371933621933625,0.928388980113118,0.72
68,Forgetful Fool Me Once: 0.05,2.6925619834710743,0.8584022038567493,21.0,1.0,74,0.7705234159779615,0.08787878787878788,0.06033057851239669,0.081267217630854,1.0,0.6879343154095627,0.20252170668837338,0.217509287271433
